timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750703224757,6,characters/id,404,Not Found,Thread Group 1-7,text,false,,273,123,12,12,http://localhost:3001/character/4,6,0,0
1750703224758,6,characters,200,OK,Thread Group 1-10,text,true,,340,122,12,12,http://localhost:3001/characters,6,0,0
1750703224759,6, HTTP Request Sampler,200,OK,Thread Group 1-9,text,true,,340,122,12,12,http://localhost:3001/characters,6,0,0
1750703224760,6,character/2,404,Not Found,Thread Group 1-11,text,false,,273,229,12,12,http://localhost:3001/character/7,6,0,0
1750703224753,14,characters,200,OK,Thread Group 1-8,text,true,,340,122,13,13,http://localhost:3001/characters,14,0,0
1750703224754,15, HTTP Request Sampler,200,OK,Thread Group 1-5,text,true,,340,122,14,14,http://localhost:3001/characters,15,0,0
1750703224737,34,characters,200,OK,Thread Group 1-12,text,true,,340,122,14,14,http://localhost:3001/characters,34,0,0
1750703224762,10, HTTP Request Sampler,200,OK,Thread Group 1-6,text,true,,340,122,14,14,http://localhost:3001/characters,10,0,0
1750703224763,10, HTTP Request Sampler,200,OK,Thread Group 1-7,text,true,,340,122,14,14,http://localhost:3001/characters,10,0,0
1750703224764,10,character/2,200,OK,Thread Group 1-10,text,true,,264,229,14,14,http://localhost:3001/character/1,10,0,0
1750703224765,10,characters,200,OK,Thread Group 1-9,text,true,,340,122,14,14,http://localhost:3001/characters,10,0,0
1750703224766,10,characters/id,404,Not Found,Thread Group 1-11,text,false,,273,123,14,14,http://localhost:3001/character/7,10,0,0
1750703224767,10,character/2,404,Not Found,Thread Group 1-8,text,false,,273,229,14,14,http://localhost:3001/character/7,10,0,0
1750703224769,8,characters,200,OK,Thread Group 1-5,text,true,,340,122,14,14,http://localhost:3001/characters,8,0,0
1750703224743,35,characters,200,OK,Thread Group 1-13,text,true,,340,122,15,15,http://localhost:3001/characters,35,0,0
1750703224773,8,characters,200,OK,Thread Group 1-6,text,true,,340,122,15,15,http://localhost:3001/characters,8,0,0
