timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1750703224764,10,character/2,200,OK,Thread Group 1-10,true,,264,14,14,10,1,0,T-OZEROVA.local
1750703224765,10,characters,200,OK,Thread Group 1-9,true,,340,14,14,10,1,0,T-OZEROVA.local
1750703224766,10,characters/id,404,Not Found,Thread Group 1-11,false,,273,14,14,10,1,1,T-OZEROVA.local
1750703224767,10,character/2,404,Not Found,Thread Group 1-8,false,,273,14,14,10,1,1,T-OZEROVA.local
1750703224769,8,characters,200,OK,Thread Group 1-5,true,,340,14,14,8,1,0,T-OZEROVA.local
1750703224743,35,characters,200,OK,Thread Group 1-13,true,,340,15,15,35,1,0,T-OZEROVA.local
1750703224773,8,characters,200,OK,Thread Group 1-6,true,,340,15,15,8,1,0,T-OZEROVA.local
1750703224773,10,characters,200,OK,Thread Group 1-7,true,,340,15,15,10,1,0,T-OZEROVA.local
1750703224774,10,characters/id,404,Not Found,Thread Group 1-10,false,,273,15,15,10,1,1,T-OZEROVA.local
1750703224776,9,character/2,404,Not Found,Thread Group 1-9,false,,273,16,16,9,1,1,T-OZEROVA.local
1750703224776,11, HTTP Request Sampler,200,OK,Thread Group 1-11,true,,340,17,17,11,1,0,T-OZEROVA.local
1750703224777,14,characters/id,404,Not Found,Thread Group 1-8,false,,273,17,17,14,1,1,T-OZEROVA.local
1750703224771,20,character/2,404,Not Found,Thread Group 1-12,false,,273,17,17,20,1,1,T-OZEROVA.local
1750703224778,13,character/2,404,Not Found,Thread Group 1-5,false,,273,17,17,13,1,1,T-OZEROVA.local
1750703224744,47,characters,200,OK,Thread Group 1-14,true,,340,17,17,47,1,0,T-OZEROVA.local
1750703224782,10,character/2,404,Not Found,Thread Group 1-6,false,,273,17,17,10,1,1,T-OZEROVA.local
1750703224783,10,character/2,404,Not Found,Thread Group 1-7,false,,273,18,18,10,1,1,T-OZEROVA.local
1750703224784,11, HTTP Request Sampler,200,OK,Thread Group 1-10,true,,340,18,18,11,1,0,T-OZEROVA.local
1750703224786,10,characters/id,200,OK,Thread Group 1-9,true,,273,18,18,10,1,0,T-OZEROVA.local
1750703224788,9,characters,200,OK,Thread Group 1-11,true,,340,18,18,9,1,0,T-OZEROVA.local
1750703224778,20,character/2,404,Not Found,Thread Group 1-13,false,,273,18,18,20,1,1,T-OZEROVA.local
1750703224754,47,characters,200,OK,Thread Group 1-15,true,,340,19,19,47,1,0,T-OZEROVA.local
1750703224792,11,characters/id,200,OK,Thread Group 1-6,true,,264,19,19,11,1,0,T-OZEROVA.local
1750703224793,11,characters/id,404,Not Found,Thread Group 1-7,false,,273,20,20,11,1,1,T-OZEROVA.local
1750703224795,10,characters,200,OK,Thread Group 1-10,true,,340,20,20,10,1,0,T-OZEROVA.local
1750703224796,11, HTTP Request Sampler,200,OK,Thread Group 1-9,true,,340,20,20,11,1,0,T-OZEROVA.local
1750703224797,10,character/2,404,Not Found,Thread Group 1-11,false,,273,20,20,10,1,1,T-OZEROVA.local
1750703224798,10,characters/id,200,OK,Thread Group 1-13,true,,264,20,20,10,1,0,T-OZEROVA.local
1750703224792,17, HTTP Request Sampler,200,OK,Thread Group 1-8,true,,340,20,20,17,1,0,T-OZEROVA.local
1750703224792,19,characters/id,404,Not Found,Thread Group 1-12,false,,273,20,20,19,1,1,T-OZEROVA.local
1750703224792,21,characters/id,404,Not Found,Thread Group 1-5,false,,273,21,21,21,1,1,T-OZEROVA.local
1750703224792,21,character/2,200,OK,Thread Group 1-14,true,,268,21,21,21,1,0,T-OZEROVA.local
1750703224761,54,characters,200,OK,Thread Group 1-16,true,,340,21,21,54,1,0,T-OZEROVA.local
1750703224803,12, HTTP Request Sampler,200,OK,Thread Group 1-6,true,,340,21,21,12,1,0,T-OZEROVA.local
1750703224805,11, HTTP Request Sampler,200,OK,Thread Group 1-7,true,,340,21,21,11,1,0,T-OZEROVA.local
1750703224806,11,character/2,404,Not Found,Thread Group 1-10,false,,273,20,20,11,1,1,T-OZEROVA.local
1750703224807,12,characters,200,OK,Thread Group 1-9,true,,340,20,20,12,1,0,T-OZEROVA.local
1750703224808,12,characters/id,200,OK,Thread Group 1-11,true,,264,20,20,12,1,0,T-OZEROVA.local
1750703224809,12, HTTP Request Sampler,200,OK,Thread Group 1-13,true,,340,20,20,12,1,0,T-OZEROVA.local
1750703224810,12,characters,200,OK,Thread Group 1-8,true,,340,20,20,12,1,0,T-OZEROVA.local
1750703224812,10, HTTP Request Sampler,200,OK,Thread Group 1-12,true,,340,20,20,10,1,0,T-OZEROVA.local
1750703224813,10, HTTP Request Sampler,200,OK,Thread Group 1-5,true,,340,20,20,10,1,0,T-OZEROVA.local
1750703224813,11,characters/id,404,Not Found,Thread Group 1-14,false,,273,19,19,11,1,1,T-OZEROVA.local
1750703224802,23,character/2,200,OK,Thread Group 1-15,true,,273,19,19,23,1,0,T-OZEROVA.local
1750703224767,59,characters,200,OK,Thread Group 1-17,true,,340,20,20,59,1,0,T-OZEROVA.local
1750703224817,11,characters/id,200,OK,Thread Group 1-10,true,,273,20,20,11,1,0,T-OZEROVA.local
1750703224819,10,character/2,404,Not Found,Thread Group 1-9,false,,273,20,20,10,1,1,T-OZEROVA.local
1750703224820,11, HTTP Request Sampler,200,OK,Thread Group 1-11,true,,340,20,20,11,1,0,T-OZEROVA.local
1750703224821,11,characters,200,OK,Thread Group 1-13,true,,340,21,21,11,1,0,T-OZEROVA.local
1750703224822,12,character/2,200,OK,Thread Group 1-8,true,,264,21,21,12,1,0,T-OZEROVA.local
1750703224822,13,characters,200,OK,Thread Group 1-12,true,,340,21,21,13,1,0,T-OZEROVA.local
1750703224824,12, HTTP Request Sampler,200,OK,Thread Group 1-14,true,,340,21,21,12,1,0,T-OZEROVA.local
1750703224825,12,characters/id,200,OK,Thread Group 1-15,true,,268,22,22,12,1,0,T-OZEROVA.local
1750703224815,23,character/2,200,OK,Thread Group 1-16,true,,273,22,22,23,1,0,T-OZEROVA.local
1750703224768,82,characters,200,OK,Thread Group 1-18,true,,340,24,24,82,1,0,T-OZEROVA.local
1750703224828,24, HTTP Request Sampler,200,OK,Thread Group 1-10,true,,340,24,24,24,1,0,T-OZEROVA.local
1750703224830,23,characters/id,404,Not Found,Thread Group 1-9,false,,273,24,24,23,1,1,T-OZEROVA.local
1750703224832,22,characters,200,OK,Thread Group 1-11,true,,340,24,24,22,1,0,T-OZEROVA.local
1750703224832,23,character/2,404,Not Found,Thread Group 1-13,false,,273,24,24,23,1,1,T-OZEROVA.local
1750703224834,22,characters/id,404,Not Found,Thread Group 1-8,false,,273,24,24,22,1,1,T-OZEROVA.local
1750703224835,22,character/2,404,Not Found,Thread Group 1-12,false,,273,24,24,22,1,1,T-OZEROVA.local
1750703224836,22,characters,200,OK,Thread Group 1-14,true,,340,24,24,22,1,0,T-OZEROVA.local
1750703224837,21, HTTP Request Sampler,200,OK,Thread Group 1-15,true,,340,24,24,21,1,0,T-OZEROVA.local
1750703224838,21,characters/id,404,Not Found,Thread Group 1-16,false,,273,24,24,21,1,1,T-OZEROVA.local
1750703224851,9,character/2,404,Not Found,Thread Group 1-18,false,,273,24,24,9,1,1,T-OZEROVA.local
1750703224826,35,character/2,200,OK,Thread Group 1-17,true,,264,24,24,35,1,0,T-OZEROVA.local
1750703224778,83,characters,200,OK,Thread Group 1-19,true,,340,24,24,83,1,0,T-OZEROVA.local
1750703224853,9, HTTP Request Sampler,200,OK,Thread Group 1-9,true,,340,24,24,9,1,0,T-OZEROVA.local
1750703224854,9,character/2,404,Not Found,Thread Group 1-11,false,,273,24,24,9,1,1,T-OZEROVA.local
1750703224855,11,characters/id,404,Not Found,Thread Group 1-13,false,,273,24,24,11,1,1,T-OZEROVA.local
1750703224857,10, HTTP Request Sampler,200,OK,Thread Group 1-8,true,,340,24,24,10,1,0,T-OZEROVA.local
1750703224857,10,characters/id,404,Not Found,Thread Group 1-12,false,,273,23,23,10,1,1,T-OZEROVA.local
1750703224858,11,character/2,404,Not Found,Thread Group 1-14,false,,273,24,24,11,1,1,T-OZEROVA.local
1750703224858,12,characters,200,OK,Thread Group 1-15,true,,340,24,24,12,1,0,T-OZEROVA.local
1750703224859,12, HTTP Request Sampler,200,OK,Thread Group 1-16,true,,340,24,24,12,1,0,T-OZEROVA.local
1750703224860,11,characters/id,404,Not Found,Thread Group 1-18,false,,273,24,24,11,1,1,T-OZEROVA.local
1750703224861,11,characters/id,200,OK,Thread Group 1-17,true,,268,24,24,11,1,0,T-OZEROVA.local
1750703224785,87,characters,200,OK,Thread Group 1-20,true,,340,24,24,87,1,0,T-OZEROVA.local
1750703224864,9,characters/id,200,OK,Thread Group 1-11,true,,273,24,24,9,1,0,T-OZEROVA.local
1750703224866,8, HTTP Request Sampler,200,OK,Thread Group 1-13,true,,340,25,25,8,1,0,T-OZEROVA.local
1750703224868,7, HTTP Request Sampler,200,OK,Thread Group 1-12,true,,340,25,25,7,1,0,T-OZEROVA.local
1750703224869,7,characters/id,200,OK,Thread Group 1-14,true,,264,25,25,7,1,0,T-OZEROVA.local
1750703224870,8,character/2,404,Not Found,Thread Group 1-15,false,,273,25,25,8,1,1,T-OZEROVA.local
1750703224871,9,characters,200,OK,Thread Group 1-16,true,,340,26,26,9,1,0,T-OZEROVA.local
1750703224871,10, HTTP Request Sampler,200,OK,Thread Group 1-18,true,,340,26,26,10,1,0,T-OZEROVA.local
