timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750702112398,1,characters/id,404,Not Found,Thread Group 1-10,text,false,,273,123,1,1,http://localhost:3001/character/7,1,0,0
1750702112399,2, HTTP Request Sampler,200,OK,Thread Group 1-10,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702112401,1,characters,200,OK,Thread Group 1-10,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702112403,1,character/2,404,Not Found,Thread Group 1-10,text,false,,273,229,1,1,http://localhost:3001/character/8,1,0,0
1750702112404,2,characters/id,200,OK,Thread Group 1-10,text,true,,268,123,1,1,http://localhost:3001/character/3,2,0,0
1750702112406,1, HTTP Request Sampler,200,OK,Thread Group 1-10,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702112678,4,characters,200,OK,Thread Group 1-11,text,true,,340,122,1,1,http://localhost:3001/characters,4,0,2
1750702112682,1,character/2,200,OK,Thread Group 1-11,text,true,,264,229,1,1,http://localhost:3001/character/1,1,0,0
1750702112684,1,characters/id,404,Not Found,Thread Group 1-11,text,false,,273,123,1,1,http://localhost:3001/character/6,1,0,0
1750702112685,1, HTTP Request Sampler,200,OK,Thread Group 1-11,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702112687,1,characters,200,OK,Thread Group 1-11,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702112688,1,character/2,404,Not Found,Thread Group 1-11,text,false,,273,229,1,1,http://localhost:3001/character/6,1,0,0
1750702112690,1,characters/id,200,OK,Thread Group 1-11,text,true,,268,123,1,1,http://localhost:3001/character/3,1,0,0
1750702112692,1, HTTP Request Sampler,200,OK,Thread Group 1-11,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702112971,2,characters,200,OK,Thread Group 1-12,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702112974,1,character/2,200,OK,Thread Group 1-12,text,true,,264,229,1,1,http://localhost:3001/character/1,1,0,0
1750702112975,2,characters/id,200,OK,Thread Group 1-12,text,true,,264,123,1,1,http://localhost:3001/character/1,2,0,0
1750702112977,1, HTTP Request Sampler,200,OK,Thread Group 1-12,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702112979,2,characters,200,OK,Thread Group 1-12,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702112981,2,character/2,404,Not Found,Thread Group 1-12,text,false,,273,229,1,1,http://localhost:3001/character/8,2,0,0
1750702112983,2,characters/id,404,Not Found,Thread Group 1-12,text,false,,273,123,1,1,http://localhost:3001/character/5,2,0,0
1750702112985,1, HTTP Request Sampler,200,OK,Thread Group 1-12,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702113258,3,characters,200,OK,Thread Group 1-13,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,1
1750702113261,2,character/2,404,Not Found,Thread Group 1-13,text,false,,273,229,1,1,http://localhost:3001/character/0,2,0,0
1750702113263,1,characters/id,404,Not Found,Thread Group 1-13,text,false,,273,123,1,1,http://localhost:3001/character/4,1,0,0
1750702113265,1, HTTP Request Sampler,200,OK,Thread Group 1-13,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702113266,1,characters,200,OK,Thread Group 1-13,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702113267,2,character/2,404,Not Found,Thread Group 1-13,text,false,,273,229,1,1,http://localhost:3001/character/5,2,0,0
1750702113269,1,characters/id,200,OK,Thread Group 1-13,text,true,,273,123,1,1,http://localhost:3001/character/2,1,0,0
1750702113270,1, HTTP Request Sampler,200,OK,Thread Group 1-13,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702113547,3,characters,200,OK,Thread Group 1-14,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,1
1750702113550,2,character/2,200,OK,Thread Group 1-14,text,true,,268,229,1,1,http://localhost:3001/character/3,2,0,0
1750702113552,1,characters/id,404,Not Found,Thread Group 1-14,text,false,,273,123,1,1,http://localhost:3001/character/7,1,0,0
1750702113554,1, HTTP Request Sampler,200,OK,Thread Group 1-14,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702113555,2,characters,200,OK,Thread Group 1-14,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702113557,1,character/2,404,Not Found,Thread Group 1-14,text,false,,273,229,1,1,http://localhost:3001/character/5,1,0,0
1750702113558,2,characters/id,404,Not Found,Thread Group 1-14,text,false,,273,123,1,1,http://localhost:3001/character/7,2,0,0
1750702113560,2, HTTP Request Sampler,200,OK,Thread Group 1-14,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702113842,4,characters,200,OK,Thread Group 1-15,text,true,,340,122,1,1,http://localhost:3001/characters,4,0,1
1750702113846,1,character/2,404,Not Found,Thread Group 1-15,text,false,,273,229,1,1,http://localhost:3001/character/7,1,0,0
1750702113847,1,characters/id,404,Not Found,Thread Group 1-15,text,false,,273,123,1,1,http://localhost:3001/character/9,1,0,0
1750702113848,1, HTTP Request Sampler,200,OK,Thread Group 1-15,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702113853,1,characters,200,OK,Thread Group 1-15,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702113855,1,character/2,404,Not Found,Thread Group 1-15,text,false,,273,229,1,1,http://localhost:3001/character/5,1,0,0
1750702113856,1,characters/id,404,Not Found,Thread Group 1-15,text,false,,273,123,1,1,http://localhost:3001/character/0,1,0,0
1750702113857,1, HTTP Request Sampler,200,OK,Thread Group 1-15,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702114133,2,characters,200,OK,Thread Group 1-16,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702114135,2,character/2,200,OK,Thread Group 1-16,text,true,,273,229,1,1,http://localhost:3001/character/2,1,0,0
1750702114137,1,characters/id,200,OK,Thread Group 1-16,text,true,,264,123,1,1,http://localhost:3001/character/1,1,0,0
1750702114138,1, HTTP Request Sampler,200,OK,Thread Group 1-16,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702114139,1,characters,200,OK,Thread Group 1-16,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702114140,2,character/2,200,OK,Thread Group 1-16,text,true,,268,229,1,1,http://localhost:3001/character/3,2,0,0
1750702114142,1,characters/id,404,Not Found,Thread Group 1-16,text,false,,273,123,1,1,http://localhost:3001/character/6,1,0,0
1750702114143,1, HTTP Request Sampler,200,OK,Thread Group 1-16,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702114422,2,characters,200,OK,Thread Group 1-17,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702114424,1,character/2,404,Not Found,Thread Group 1-17,text,false,,273,229,1,1,http://localhost:3001/character/0,1,0,0
